timestamp,machine_id,vibration,temperature,pressure,failure
2024-01-01 00:00:00,1,0.424,68.76,100.33,0
2024-01-01 01:00:00,1,0.325,69.97,103.44,0
2024-01-01 02:00:00,1,0.395,69.2,100.37,0
2024-01-01 03:00:00,1,0.377,71.68,103.36,0
2024-01-01 04:00:00,1,0.387,68.46,102.67,0
2024-01-01 05:00:00,1,0.387,69.23,100.78,0
2024-01-01 06:00:00,1,0.378,67.14,101.88,0
2024-01-01 07:00:00,1,0.391,70.96,103.04,0
2024-01-01 08:00:00,1,0.394,69.69,100.4,0
2024-01-01 09:00:00,1,0.346,70.13,102.47,0
2024-01-01 10:00:00,1,0.391,71.78,101.43,0
2024-01-01 11:00:00,1,0.447,73.0,102.72,0
2024-01-01 12:00:00,1,0.394,72.04,102.8,0
2024-01-01 13:00:00,1,0.507,72.58,102.84,0
2024-01-01 14:00:00,1,0.356,71.56,102.6,0
2024-01-01 15:00:00,1,0.353,70.94,102.97,0
2024-01-01 16:00:00,1,0.407,71.46,102.01,0
2024-01-01 17:00:00,1,0.341,72.04,101.88,0
2024-01-01 18:00:00,1,0.4,69.84,102.02,0
2024-01-01 19:00:00,1,0.297,69.1,102.27,0
2024-01-01 20:00:00,1,0.356,72.92,102.07,0
2024-01-01 21:00:00,1,0.37,68.47,102.8,0
2024-01-01 22:00:00,1,0.412,75.03,102.16,0
2024-01-01 23:00:00,1,0.41,72.01,102.92,0
2024-01-02 00:00:00,1,0.378,74.41,101.97,0
2024-01-02 01:00:00,1,0.378,74.36,104.07,0
2024-01-02 02:00:00,1,0.365,71.7,102.65,0
2024-01-02 03:00:00,1,0.403,70.6,103.95,0
2024-01-02 04:00:00,1,0.501,73.1,102.33,0
2024-01-02 05:00:00,1,0.324,70.61,102.88,0
2024-01-02 06:00:00,1,0.47,74.53,101.44,0
2024-01-02 07:00:00,1,0.417,74.79,101.16,0
2024-01-02 08:00:00,1,0.278,68.88,99.72,0
2024-01-02 09:00:00,1,0.485,77.3,101.11,0
2024-01-02 10:00:00,1,0.446,79.26,101.72,0
2024-01-02 11:00:00,1,0.438,77.91,103.93,0
2024-01-02 12:00:00,1,0.489,81.53,102.09,0
2024-01-02 13:00:00,1,0.408,77.6,101.8,0
2024-01-02 14:00:00,1,0.429,74.46,101.14,0
2024-01-02 15:00:00,1,0.363,71.08,101.17,0
2024-01-02 16:00:00,1,0.478,75.3,100.57,0
2024-01-02 17:00:00,1,0.434,72.15,100.77,0
2024-01-02 18:00:00,1,0.41,76.79,100.44,0
2024-01-02 19:00:00,1,0.419,77.03,102.04,0
2024-01-02 20:00:00,1,0.467,77.32,101.18,0
2024-01-02 21:00:00,1,0.452,74.52,100.59,0
2024-01-02 22:00:00,1,0.419,79.2,100.66,0
2024-01-02 23:00:00,1,0.514,78.6,100.71,0
